,Unnamed: 0,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.city,Input.zipcode,Input.propertyTaxRate,Input.garageSpaces,Input.hasAssociation,Input.hasCooling,Input.hasGarage,Input.hasHeating,Input.hasSpa,Input.hasView,Input.homeType,Input.parkingSpaces,Input.yearBuilt,Input.latestPrice,Input.numPriceChanges,Input.numOfAccessibilityFeatures,Input.numOfAppliances,Input.numOfParkingFeatures,Input.numOfPatioAndPorchFeatures,Input.numOfSecurityFeatures,Input.numOfWaterfrontFeatures,Input.numOfWindowFeatures,Input.numOfCommunityFeatures,Input.lotSizeSqFt,Input.livingAreaSqFt,Input.numOfPrimarySchools,Input.numOfElementarySchools,Input.numOfMiddleSchools,Input.numOfHighSchools,Input.avgSchoolDistance,Input.avgSchoolRating,Input.avgSchoolSize,Input.MedianStudentsPerTeacher,Input.numOfBathrooms,Input.numOfBedrooms,Input.numOfStories,Input.homeImageJPG,Input.homeImage,Answer.answerPrice,Approve,Reject,zpid
0,0,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,30JNVC0ORH1K4WU0H1KC9KPCXNAQH3,A3KEULKC1AGXDF,Approved,Mon Apr 26 10:03:53 PDT 2021,Mon Apr 26 10:04:07 PDT 2021,Thu Apr 29 10:04:07 PDT 2021,Thu Apr 29 10:04:37 PDT 2021,,,14,100% (152/152),100% (152/152),100% (152/152),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,2150000,,,29342724
1,1,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,32EYX73OY8QPLJFKUFGBXPO7NHMURH,A2UKF0QJ70KACC,Approved,Mon Apr 26 11:02:08 PDT 2021,Mon Apr 26 11:02:22 PDT 2021,Thu Apr 29 11:02:22 PDT 2021,Thu Apr 29 11:02:37 PDT 2021,,,14,100% (29/29),100% (29/29),100% (29/29),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,290000,,,29342724
2,2,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,32RIADZIS0L250LIUYPYAVV9A3SS4L,A1WGEJVGY3DI13,Approved,Sun Apr 25 21:32:44 PDT 2021,Sun Apr 25 21:32:52 PDT 2021,Wed Apr 28 21:32:52 PDT 2021,Wed Apr 28 21:33:25 PDT 2021,,,8,100% (152/152),100% (152/152),100% (152/152),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,600000,,,29342724
3,3,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,33F859I56EUX0QSBYJNMEVUDBKGBHD,A1RP234EJ8NH7K,Approved,Sun Apr 25 18:55:56 PDT 2021,Sun Apr 25 18:56:01 PDT 2021,Wed Apr 28 18:56:01 PDT 2021,Wed Apr 28 18:56:25 PDT 2021,,,5,100% (355/355),100% (152/152),100% (152/152),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,100000,,,29342724
4,4,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,33LKR6A5KM1MS11EWGBMM2KS0F2T1U,AM3R2Z15PS86B,Submitted,Wed Apr 28 12:32:22 PDT 2021,Wed Apr 28 12:34:02 PDT 2021,Sat May 01 12:34:02 PDT 2021,,,,100,0% (0/0),0% (0/0),0% (0/0),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,250000,,,29342724
5,5,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,33UKMF931H1N1LDNYZVWS83NSLHTT1,A3T5UAYFKJBVTA,Approved,Sun Apr 25 20:18:15 PDT 2021,Sun Apr 25 20:25:09 PDT 2021,Wed Apr 28 20:25:09 PDT 2021,Wed Apr 28 20:25:25 PDT 2021,,,414,100% (152/152),100% (152/152),100% (152/152),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,850000,,,29342724
6,6,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,36V4Q8R5ZSH6WAVB8Y0P1PX8E8FMQC,ADVCIFLB5A9B,Approved,Mon Apr 26 06:35:34 PDT 2021,Mon Apr 26 06:35:43 PDT 2021,Thu Apr 29 06:35:43 PDT 2021,Thu Apr 29 06:36:35 PDT 2021,,,9,100% (152/152),100% (152/152),100% (152/152),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,92000,,,29342724
7,7,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,39LNWE0K42DCSKC14SM2JXNG0J8UIE,AP8C8UAI5RVUQ,Approved,Mon Apr 26 03:22:09 PDT 2021,Mon Apr 26 03:22:42 PDT 2021,Thu Apr 29 03:22:42 PDT 2021,Thu Apr 29 03:23:26 PDT 2021,,,33,100% (26/26),100% (26/26),100% (26/26),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,150000,,,29342724
8,8,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,3AAJC4I4FO9P9UQHSX6ACQHVFSPJZ5,A2029SACMJGEWP,Submitted,Wed Apr 28 12:39:05 PDT 2021,Wed Apr 28 12:39:33 PDT 2021,Sat May 01 12:39:33 PDT 2021,,,,28,0% (0/0),0% (0/0),0% (0/0),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,225000,,,29342724
9,9,3E9ZFLPWP591M482JUSNEKQX64TXIB,3GSIANI2Q0UZVBZ8ZINBEQHAFSZDPO,Guess home prices,"Guess the price of a home in Austin, TX","image, price, cost, home, photo, estimate, house",$0.02,Sun Apr 25 18:52:11 PDT 2021,20,BatchId:4420749;OriginalHitTemplateId:928390877;,3600,259200,Sun May 02 18:52:11 PDT 2021,,,3GNCZX450Q4KUXL7BIVVSTCYF5EPAY,A3F8RP193M37U9,Submitted,Wed Apr 28 04:12:36 PDT 2021,Wed Apr 28 04:37:12 PDT 2021,Sat May 01 04:37:12 PDT 2021,,,,1476,0% (0/0),0% (0/0),0% (0/0),Austin,78731,1.98,0,1,0,1,0,0,0,0,0,1953,365000,5,0,5,1,1,0,0,0,0,8319.0,1457,1,0,1,1,1.033333333,7.0,1177,16,2.0,3,1,29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,https://mturk-s3-austin-homes.s3.us-east-2.amazonaws.com/houses/29342724_2a8ef12b0b415598d04ba0d8c2559501-p_f.jpg,433000,,,29342724
